symbol,session_date,exclusion_reason
QQQ,2022-07-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-28,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-07-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-03,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-08-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-08,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-08-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-29,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-08-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-08-31,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-02,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-09-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-19,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-09-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-09-29,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-09-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-06,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-10-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-14,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-10-17,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-10-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-10-28,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-10-31,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-04,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-11-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-22,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-11-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-28,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-11-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-11-30,EXCLUDED_DRIVE_THRESHOLD
