event_type,orientation,horizon,symbol,year,count,mean_return,median_return,bootstrap_lower,bootstrap_upper,economic_threshold,classification
EVENT-08,short_reversal,5min,QQQ,2023,171,-6.922612234862737e-05,-0.0001035873950496,-0.000223105485234,0.0001088541171858,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,5min,QQQ,2024,176,-0.000139342814729,-0.0001267374545493,-0.0003048678316504,3.062944849843946e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,5min,SPY,2022,171,-0.0001961089787856,-0.000105658978365,-0.0003999501046252,2.0220068921159896e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,5min,SPY,2023,190,-2.578305809449565e-05,-6.45369474023827e-05,-0.0001422331807255,9.861873032261168e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,5min,SPY,2024,196,-6.394121416959045e-05,-5.208617909546742e-05,-0.0001609545699057,3.2813553810816405e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,60min,QQQ,2022,165,-0.0006193115349623,-0.000723433735812,-0.0015691890389018,0.0003596035208432,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,60min,QQQ,2023,171,-0.0005813554310189,-0.0008232327131423,-0.0011512440715318,7.292188817460464e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,60min,QQQ,2024,176,-0.000732216497373,-0.0007962991051113,-0.0012361367359241,-0.0003000373740944,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,60min,SPY,2022,171,-0.0006570521228506,-0.0006277948419125,-0.0012940432099506,1.1090001794427934e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,60min,SPY,2023,190,-0.0001828908267318,-0.0002883270613407,-0.000544796647107,0.0002568398268191,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,60min,SPY,2024,196,-0.0003284987198694,-0.000314527102887,-0.0006805064316209,2.31711797696676e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,session_close,QQQ,2022,165,-0.0011649083875801,-0.0025692376286157,-0.0030306878275523,0.0007579049993633,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,session_close,QQQ,2023,171,-0.0013804865340314,-0.0016160143210426,-0.0026126547717121,-0.0002160701839179,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,session_close,QQQ,2024,176,-0.0006917144997911,-0.0006008058907794,-0.0015647884158348,0.0002882607891642,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,session_close,SPY,2022,171,-0.0011231184555678,-0.0020527478238274,-0.0026273587370969,0.0004238635691811,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,session_close,SPY,2023,190,-0.0006819376363711,-0.0007844800169616,-0.0015132694158551,0.0001586886025924,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,session_close,SPY,2024,196,-0.0001896388393647,-0.0005319728217669,-0.000950871905367,0.000549244460903,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
