symbol,hypothesis_id,session_date,timestamp,diagnostic,sweep_depth_ticks,scenario,equity_before_session,direction,actual_quantity
QQQ,HYP-FCR-03,2024-02-01,2024-02-01T15:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.009999999997489795,stress,919.4572766600315,,
QQQ,HYP-FCR-03,2024-05-15,2024-05-15T14:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,895.2193240600341,,
QQQ,HYP-FCR-03,2024-05-20,2024-05-20T14:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,896.6926650600342,,
QQQ,HYP-FCR-03,2024-05-21,2024-05-21T14:10:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,895.8807150800342,,
QQQ,HYP-FCR-03,2024-06-06,2024-06-06T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,891.1480750800343,,
QQQ,HYP-FCR-03,2024-06-06,2024-06-06T18:15:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.9900000000016007,stress,891.1480750800343,,
QQQ,HYP-FCR-03,2024-07-15,2024-07-15T14:00:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,887.6038888600349,,
QQQ,HYP-FCR-03,2024-07-23,2024-07-23T14:45:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,890.7599758600351,,
QQQ,HYP-FCR-03,2024-11-08,2024-11-08T15:35:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,867.9312657600377,,
QQQ,HYP-FCR-03,2024-11-08,2024-11-08T15:40:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,stress,867.9312657600377,,
QQQ,HYP-FCR-03,2024-12-17,2024-12-17T16:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,stress,853.7779935000382,,
QQQ,HYP-FCR-03,2022-02-07,2022-02-07T16:10:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,1017.8182384300015,,
QQQ,HYP-FCR-03,2022-04-07,2022-04-07T14:55:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,1049.9286124400057,,
QQQ,HYP-FCR-03,2022-06-21,2022-06-21T17:35:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,severe,1017.5537968200103,,
QQQ,HYP-FCR-03,2022-07-13,2022-07-13T14:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,1006.9296895400126,,
QQQ,HYP-FCR-03,2022-09-22,2022-09-22T14:20:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,955.4635104500188,,
QQQ,HYP-FCR-03,2022-10-25,2022-10-25T16:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,961.5415989700207,,
QQQ,HYP-FCR-03,2022-11-02,2022-11-02T14:45:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,949.6571533600213,,
QQQ,HYP-FCR-03,2022-11-25,2022-11-25T15:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.8300000000019736,severe,955.0837865800224,,
QQQ,HYP-FCR-03,2022-11-30,2022-11-30T15:50:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,951.2331086800228,,
QQQ,HYP-FCR-03,2023-03-22,2023-03-22T16:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,939.0366513700307,,
QQQ,HYP-FCR-03,2023-03-23,2023-03-23T18:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,942.6319053700307,,
QQQ,HYP-FCR-03,2023-06-13,2023-06-13T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,920.1405836700347,,
QQQ,HYP-FCR-03,2023-06-22,2023-06-22T14:05:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,919.0339966700352,,
QQQ,HYP-FCR-03,2023-07-03,2023-07-03T16:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.04000000000132786,severe,911.763673490036,,
QQQ,HYP-FCR-03,2023-07-03,2023-07-03T16:30:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,911.763673490036,,
QQQ,HYP-FCR-03,2023-07-13,2023-07-13T15:05:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.32000000000493856,severe,917.7344913700367,,
QQQ,HYP-FCR-03,2023-08-18,2023-08-18T14:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,903.9276006900388,,
QQQ,HYP-FCR-03,2023-08-25,2023-08-25T14:10:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,905.9579616900393,,
QQQ,HYP-FCR-03,2023-08-28,2023-08-28T16:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,907.2916446900393,,
