hypothesis_id,symbol,session_date,executable_timestamp,direction_orientation,year,executable_timestamp_hour_bucket,horizon,event_return,unconditional_return,unconditional_sample_count
HYP-OR-CONT-EVENT-01,QQQ,2022-01-20,2022-01-20T15:20:00+00:00,continuation_long,2022,10:00,session_close,-0.025231150766908406,0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-21,2022-01-21T15:20:00+00:00,continuation_short,2022,10:00,30min,-0.015078204118375016,6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-21,2022-01-21T15:20:00+00:00,continuation_short,2022,10:00,15min,-0.008186114549341594,4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-21,2022-01-21T15:20:00+00:00,continuation_short,2022,10:00,60min,-0.017975694835152378,4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-21,2022-01-21T15:20:00+00:00,continuation_short,2022,10:00,session_close,0.011364915044447033,-0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-24,2022-01-24T15:25:00+00:00,continuation_short,2022,10:00,30min,-0.00023297125717136602,6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-24,2022-01-24T15:25:00+00:00,continuation_short,2022,10:00,15min,-0.0038440257433238756,4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-24,2022-01-24T15:25:00+00:00,continuation_short,2022,10:00,60min,0.0044264538862517355,4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-24,2022-01-24T15:25:00+00:00,continuation_short,2022,10:00,session_close,-0.029674713882174686,-0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-25,2022-01-25T16:55:00+00:00,continuation_short,2022,11:00,30min,-0.0015127272727271102,0.00015930069977727258,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-25,2022-01-25T16:55:00+00:00,continuation_short,2022,11:00,15min,0.00029090909090911943,5.6342617917160395e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-25,2022-01-25T16:55:00+00:00,continuation_short,2022,11:00,60min,0.000538181818181771,0.0004151811255126391,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-25,2022-01-25T16:55:00+00:00,continuation_short,2022,11:00,session_close,-0.003432727272727254,-0.6632770180962785,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-26,2022-01-26T16:00:00+00:00,continuation_short,2022,11:00,30min,-0.004076396807297655,0.00015930069977727258,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-26,2022-01-26T16:00:00+00:00,continuation_short,2022,11:00,15min,-0.0023030216647661472,5.6342617917160395e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-26,2022-01-26T16:00:00+00:00,continuation_short,2022,11:00,60min,-0.004618015963512079,0.0004151811255126391,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-26,2022-01-26T16:00:00+00:00,continuation_short,2022,11:00,session_close,0.016590649942987423,-0.6632770180962785,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-27,2022-01-27T15:25:00+00:00,continuation_long,2022,10:00,30min,-0.0017473002778494173,-6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-27,2022-01-27T15:25:00+00:00,continuation_long,2022,10:00,15min,-0.005227578700123137,-4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-27,2022-01-27T15:25:00+00:00,continuation_long,2022,10:00,60min,-0.00489816963134837,-4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-27,2022-01-27T15:25:00+00:00,continuation_long,2022,10:00,session_close,-0.02317321188164201,0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-28,2022-01-28T16:10:00+00:00,continuation_long,2022,11:00,30min,0.004233066573880784,-0.00015930069977727258,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-28,2022-01-28T16:10:00+00:00,continuation_long,2022,11:00,15min,0.005161215495244731,-5.6342617917160395e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-28,2022-01-28T16:10:00+00:00,continuation_long,2022,11:00,60min,0.008639236836001096,-0.0004151811255126391,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-28,2022-01-28T16:10:00+00:00,continuation_long,2022,11:00,session_close,0.020499884017629366,0.6632770180962785,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-31,2022-01-31T15:20:00+00:00,continuation_long,2022,10:00,30min,0.002390003913456784,-6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-31,2022-01-31T15:20:00+00:00,continuation_long,2022,10:00,15min,8.385978643699055e-05,-4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-31,2022-01-31T15:20:00+00:00,continuation_long,2022,10:00,60min,-0.00016771957287420314,-4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-31,2022-01-31T15:20:00+00:00,continuation_long,2022,10:00,session_close,0.015486107228713575,0.6632079556976866,3012
