hypothesis_id,symbol,session_date,sweep_timestamp,confirmation_timestamp,executable_timestamp,direction_orientation,swept_side,year,executable_timestamp_hour_bucket,horizon,executable_price_reference,event_return,future_close,maximum_favorable_excursion,maximum_adverse_excursion,bars_in_path,baseline_cost_return,stress_cost_return,event_return_after_baseline_cost,event_return_after_stress_cost,unconditional_return,unconditional_sample_count,incremental_return
HYP-OR-CONT-EVENT-01,QQQ,2024-10-02,2024-10-02T14:00:00+00:00,2024-10-02T14:20:00+00:00,2024-10-02T14:20:00+00:00,continuation_long,high,2024,10:00,session_close,481.704,0.0004899274243104212,481.94,0.004517296929234416,-0.0025409795226943865,68,0.0002415192732466411,0.0004830385464932822,0.0002484081510637802,6.888877817139052e-06,0.10520893768050853,3024,-0.1047190102561981
HYP-OR-CONT-EVENT-01,QQQ,2024-10-03,2024-10-03T15:40:00+00:00,2024-10-03T16:00:00+00:00,2024-10-03T16:00:00+00:00,continuation_long,high,2024,12:00,30min,482.79,-0.0013774104683196287,482.125,0.0006213881811967248,-0.0022784233310549906,7,0.0002414258787464529,0.0004828517574929058,-0.0016188363470660816,-0.0018602622258125346,4.376911929566834e-05,3006,-0.001421179587615297
HYP-OR-CONT-EVENT-01,QQQ,2024-10-03,2024-10-03T15:40:00+00:00,2024-10-03T16:00:00+00:00,2024-10-03T16:00:00+00:00,continuation_long,high,2024,12:00,15min,482.79,-0.00035191283995117395,482.6201,0.0002692682118519141,-0.0009527952111685334,4,0.0002414258787464529,0.0004828517574929058,-0.0005933387186976269,-0.0008347645974440798,1.6529748538503642e-05,3015,-0.0003684425884896776
HYP-OR-CONT-EVENT-01,QQQ,2024-10-03,2024-10-03T15:40:00+00:00,2024-10-03T16:00:00+00:00,2024-10-03T16:00:00+00:00,continuation_long,high,2024,12:00,60min,482.79,-0.007021686447523878,479.4,0.0006213881811967248,-0.007870916961826069,13,0.0002414258787464529,0.0004828517574929058,-0.0072631123262703315,-0.007504538205016784,0.00014751432152188435,2988,-0.0071692007690457625
HYP-OR-CONT-EVENT-01,QQQ,2024-10-03,2024-10-03T15:40:00+00:00,2024-10-03T16:00:00+00:00,2024-10-03T16:00:00+00:00,continuation_long,high,2024,12:00,session_close,482.79,-0.0024027009672943356,481.63,0.0006213881811967248,-0.007870916961826069,48,0.0002414258787464529,0.0004828517574929058,-0.0026441268460407883,-0.0028855527247872415,0.10514663012018967,3024,-0.107549331087484
HYP-OR-CONT-EVENT-01,QQQ,2024-10-04,2024-10-04T14:00:00+00:00,2024-10-04T14:20:00+00:00,2024-10-04T14:20:00+00:00,continuation_short,low,2024,10:00,30min,484.5,-0.00041279669762639415,484.7,0.004103456851529463,0.0010309278350515427,7,0.00024127966976264192,0.00048255933952528384,-0.000654076367389036,-0.0008953560371516779,8.784715465694218e-06,3024,-0.00042158141309208834
HYP-OR-CONT-EVENT-01,QQQ,2024-10-04,2024-10-04T14:00:00+00:00,2024-10-04T14:20:00+00:00,2024-10-04T14:20:00+00:00,continuation_short,low,2024,10:00,15min,484.5,0.0026406604747162277,483.2206,0.004103456851529463,5.407344329366737e-05,4,0.00024127966976264192,0.00048255933952528384,0.0023993808049535856,0.002158101135190944,1.645775283912026e-05,3024,0.0026242027218771075
HYP-OR-CONT-EVENT-01,QQQ,2024-10-04,2024-10-04T14:00:00+00:00,2024-10-04T14:20:00+00:00,2024-10-04T14:20:00+00:00,continuation_short,low,2024,10:00,60min,484.5,0.001135190918472695,483.95,0.004103456851529463,0.0027786353812905284,13,0.00024127966976264192,0.00048255933952528384,0.000893911248710053,0.0006526315789474111,-1.3990141093417914e-05,3024,0.0011491810595661129
HYP-OR-CONT-EVENT-01,QQQ,2024-10-04,2024-10-04T14:00:00+00:00,2024-10-04T14:20:00+00:00,2024-10-04T14:20:00+00:00,continuation_short,low,2024,10:00,session_close,484.5,-0.006171310629514926,487.49,0.004103456851529463,0.006927933098302863,68,0.00024127966976264192,0.00048255933952528384,-0.006412590299277567,-0.00665386996904021,-0.10520893768050853,3024,0.0990376270509936
HYP-OR-CONT-EVENT-01,QQQ,2024-10-07,2024-10-07T14:15:00+00:00,2024-10-07T14:35:00+00:00,2024-10-07T14:35:00+00:00,continuation_long,high,2024,10:00,30min,486.22,-0.001563078441857657,485.46,0.0005141705400848462,-0.002570852700423676,7,0.00024113364320677884,0.0004822672864135577,-0.0018042120850644359,-0.0020453457282712147,-8.784715465694218e-06,3024,-0.0015542937263919628
