event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-04,5min,SPY,short_reversal,2023,5.110696465990809e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,SPY,short_reversal,2024,3.143217729260173e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2022,8.777978587737445e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2023,-0.0002437562041179577,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2024,-0.00042912430677181056,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2022,-0.0001417937930995413,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2023,-5.0987896146876844e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2024,-0.00023059509194850238,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2022,-0.0005413634300788272,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2023,-0.0012346553441002703,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2024,-0.0005331892303596126,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2022,-0.0006194496731254458,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2023,-0.0005946662949635859,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2024,-0.00015612627261508074,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2022,-0.0001417638618447783,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2023,5.289212408191819e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2024,-0.00022761031546303875,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,SPY,long_reversal,2022,0.00016208255358847803,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,SPY,long_reversal,2023,0.00012984952685910818,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,SPY,long_reversal,2024,-0.0001207633780270595,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2022,0.0003096785177568609,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2023,-0.0002260763470258578,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2024,1.3251567076352009e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2022,0.00037228208840721984,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2023,0.00019895520605777757,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2024,3.74373936867286e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2022,-0.00011097445613792131,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2023,-6.65213163926751e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2024,-0.0003221049957803137,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2022,0.00012777318627918546,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2023,1.0872924195778374e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2024,-5.297443893862115e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2022,0.0002184103365878696,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2023,0.00013323112662904206,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2024,-0.00011433193514627441,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2022,0.0006292134982437685,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2023,0.00037547748486526766,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2024,9.566568813318013e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,QQQ,long_reversal,2022,0.0006050327292455895,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,QQQ,long_reversal,2023,0.0008316116192554402,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,QQQ,long_reversal,2024,-0.00022554232686514545,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2022,0.0012609258761033222,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2023,0.0004446499649763422,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,SPY,long_reversal,2024,0.0006472629218643193,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2022,0.00045693048470613393,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2023,-8.041332782904626e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,QQQ,short_reversal,2024,-0.0002001610763839975,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2022,0.00026053366312958745,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2023,0.00015681566345852508,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,15min,SPY,short_reversal,2024,-2.257508624913874e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2022,0.0008577223829239244,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2023,-0.000434944168219422,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,QQQ,short_reversal,2024,-0.00031707261141435166,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2022,0.0004412969314527689,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2023,4.88726296993251e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,30min,SPY,short_reversal,2024,-0.00016906651988035708,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2022,0.00032299878639260074,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2023,9.582454176416684e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,QQQ,short_reversal,2024,-5.750608853833941e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
