event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,60min,QQQ,long_reversal,2024,168,168,165,168,-0.00026569111419009106,0.0004179988024899,0.004061830127916828,0.5333333333333333,0.00026569111419009106,-0.0004179988024899,0.0026612186783199366,0.0021159630743698,-0.003249248136566187,-0.0023981921320851,-0.000894506090789569,0.00029573350317810054,session_date,17
EVENT-02,60min,SPY,long_reversal,2022,185,185,182,185,0.00013037572182391023,-0.00030827150401295,0.004727862259361887,0.45604395604395603,-0.00013037572182391023,0.00030827150401295,0.003659758421443948,0.0028614972647643,-0.0035807899074774227,-0.0029817971565983,-0.0005873253178307308,0.0008081429933965989,session_date,17
EVENT-02,60min,SPY,long_reversal,2023,180,180,172,180,-0.00021559513563831786,-0.00019438427474074998,0.0030565608463324688,0.46511627906976744,0.00021559513563831786,0.00019438427474074998,0.0021867094873815694,0.0016930390262732001,-0.0024243004056549813,-0.0017778662923076,-0.0006750188089993648,0.00021886577328754955,session_date,17
EVENT-02,60min,SPY,long_reversal,2024,183,183,180,183,-0.00026561118402642785,0.00010532531251409999,0.0027187392258947157,0.5166666666666667,0.00026561118402642785,-0.00010532531251409999,0.0016719249388972319,0.00127087520619815,-0.002130644304675041,-0.0014376275126298,-0.000641038551035001,0.00013657184854787703,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2022,178,178,177,178,-0.0006123036480624917,-0.0009631031848826,0.014200091714503869,0.4576271186440678,0.0006123036480624917,0.0009631031848826,0.009965217589366727,0.0068508126229867,-0.010043412544377045,-0.0074891067538126,-0.0027444951980352596,0.0016742743824674981,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2023,169,169,169,169,0.0004760037024246753,0.0009251169245001,0.0076641827147691495,0.5384615384615384,-0.0004760037024246753,-0.0009251169245001,0.005783416296851859,0.0048749261374827,-0.005450212658231356,-0.004422857763065,-0.000629290448239675,0.0016160106815937402,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2024,168,168,167,168,-0.00036627106828751094,0.0005621261860861,0.007769231434040694,0.5389221556886228,0.00036627106828751094,-0.0005621261860861,0.004966671534285723,0.003898517351432,-0.00591415030327228,-0.0042560953365355,-0.0016247233373023926,0.0008468196893543967,session_date,17
EVENT-02,session_close,SPY,long_reversal,2022,185,185,185,185,-0.0003721359471899109,-0.0006312467122567,0.01118993964066043,0.4540540540540541,0.0003721359471899109,0.0006312467122567,0.007723796784114674,0.0058905723444477,-0.008033782712947987,-0.005734040492105,-0.0020277642725038316,0.0012553033226875125,session_date,17
EVENT-02,session_close,SPY,long_reversal,2023,180,180,178,180,0.00026565819144872373,0.0004352061388256,0.006223910588611034,0.5617977528089888,-0.00026565819144872373,-0.0004352061388256,0.004483899526874563,0.00368576807714255,-0.004516289033001018,-0.0034218301166508503,-0.0006354008453683471,0.0012094904784932135,session_date,17
EVENT-02,session_close,SPY,long_reversal,2024,183,183,183,183,-7.853766370209332e-05,0.0003056795255853,0.005514183559829495,0.5300546448087432,7.853766370209332e-05,-0.0003056795255853,0.003563041240000511,0.0027411536011927,-0.004273773766892238,-0.0029791251442357,-0.000902084224672326,0.0006285628970437666,session_date,17
