event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,60min,SPY,long_reversal,2023,180,180,172,180,-0.00021559513563831965,-0.00019438427474077757,0.0030565608463325074,0.46511627906976744,0.00021559513563831965,0.00019438427474077757,0.0021867094873816145,0.0016930390262732686,-0.002424300405655034,-0.0017778662923076394,-0.0006750188089993682,0.00021886577328755232,session_date,17
EVENT-02,60min,SPY,long_reversal,2024,183,183,180,183,-0.0002656111840264276,0.00010532531251417065,0.002718739225894754,0.5166666666666667,0.0002656111840264276,-0.00010532531251417065,0.0016719249388972772,0.0012708752061981743,-0.002130644304675088,-0.0014376275126298799,-0.0006410385510350074,0.00013657184854788218,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2022,178,178,177,178,-0.0006123036480624937,-0.0009631031848826854,0.014200091714503904,0.4576271186440678,0.0006123036480624937,0.0009631031848826854,0.009965217589366778,0.006850812622986702,-0.01004341254437709,-0.007489106753812647,-0.0027444951980352726,0.0016742743824675003,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2023,169,169,169,169,0.0004760037024246782,0.0009251169245001467,0.0076641827147691825,0.5384615384615384,-0.0004760037024246782,-0.0009251169245001467,0.005783416296851902,0.004874926137482749,-0.005450212658231408,-0.004422857763065058,-0.0006292904482396749,0.0016160106815937493,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2024,168,168,167,168,-0.0003662710682875049,0.0005621261860861981,0.0077692314340407275,0.5389221556886228,0.0003662710682875049,-0.0005621261860861981,0.004966671534285773,0.003898517351432096,-0.005914150303272329,-0.0042560953365355925,-0.0016247233373023905,0.0008468196893544101,session_date,17
EVENT-02,session_close,SPY,long_reversal,2022,185,185,185,185,-0.00037213594718991494,-0.0006312467122567833,0.011189939640660469,0.4540540540540541,0.00037213594718991494,0.0006312467122567833,0.0077237967841147295,0.0058905723444477864,-0.008033782712948035,-0.005734040492105019,-0.0020277642725038464,0.0012553033226875095,session_date,17
EVENT-02,session_close,SPY,long_reversal,2023,180,180,178,180,0.00026565819144873024,0.00043520613882563897,0.006223910588611073,0.5617977528089888,-0.00026565819144873024,-0.00043520613882563897,0.004483899526874609,0.003685768077142604,-0.0045162890330010695,-0.0034218301166509257,-0.0006354008453683467,0.001209490478493228,session_date,17
EVENT-02,session_close,SPY,long_reversal,2024,183,183,183,183,-7.85376637020899e-05,0.00030567952558535616,0.005514183559829535,0.5300546448087432,7.85376637020899e-05,-0.00030567952558535616,0.0035630412400005605,0.0027411536011927584,-0.004273773766892285,-0.002979125144235706,-0.0009020842246723294,0.0006285628970437793,session_date,17
EVENT-03,15min,QQQ,short_reversal,2022,173,173,172,173,-7.638124146926323e-05,1.6956620101982178e-05,0.003626045470991883,0.5,7.638124146926323e-05,-1.6956620101982178e-05,0.00247672068824373,0.0018422410696857794,0.00263673724653156,0.0019904203327872905,-0.0005610325559677663,0.00044975006535593313,session_date,17
EVENT-03,15min,QQQ,short_reversal,2023,176,176,173,176,1.8662146932368062e-05,-0.00015823889271948666,0.00210108938389594,0.4508670520231214,-1.8662146932368062e-05,0.00015823889271948666,0.00174101694649572,0.001303954441428612,0.001633264376521992,0.001249873323649453,-0.0002949154836789382,0.00031421608056739946,session_date,17
