event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-04,15min,SPY,short_reversal,2022,6.537150533947322e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,SPY,short_reversal,2023,3.1885627708334134e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,SPY,short_reversal,2024,-2.3845511649614616e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2022,8.735166626323332e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2023,0.00019630747580190967,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,QQQ,short_reversal,2024,-0.00020594444406523492,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2022,-6.978334557307987e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2023,7.527493960829354e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,30min,SPY,short_reversal,2024,-0.00016995463051932677,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2022,-0.00017471953245041014,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2023,6.852245368511615e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,QQQ,short_reversal,2024,4.466095733838641e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,SPY,short_reversal,2022,-1.6099069131567267e-06,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,SPY,short_reversal,2023,5.110696465990884e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,5min,SPY,short_reversal,2024,3.143217729260546e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2022,8.777978587737057e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2023,-0.00024375620411796586,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,QQQ,short_reversal,2024,-0.00042912430677181354,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2022,-0.00014179379309954264,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2023,-5.098789614688068e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,60min,SPY,short_reversal,2024,-0.0002305950919485131,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2022,-0.0005413634300788344,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2023,-0.0012346553441002835,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,QQQ,short_reversal,2024,-0.0005331892303596171,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2022,-0.0006194496731254509,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2023,-0.0005946662949635924,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,session_close,SPY,short_reversal,2024,-0.00015612627261508768,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2022,-0.00014176386184477585,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2023,5.289212408192776e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,QQQ,long_reversal,2024,-0.00022761031546304032,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,SPY,long_reversal,2022,0.00016208255358848226,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,15min,SPY,long_reversal,2023,0.0001298495268591161,False,False,non_strategy_event_study_no_pnl_no_cost_model
