event_type,horizon,symbol,orientation,year,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-04,15min,QQQ,short_reversal,2023,-0.00029683573404828457,0.0003074119062201885,session_date,17
EVENT-04,15min,QQQ,short_reversal,2024,-0.00033472722603178974,0.0001768584850793684,session_date,17
EVENT-04,15min,SPY,short_reversal,2022,-0.0003409634300350538,0.00045194574577961307,session_date,17
EVENT-04,15min,SPY,short_reversal,2023,-0.00018475511202028017,0.00024363345441931862,session_date,17
EVENT-04,15min,SPY,short_reversal,2024,-0.00017540762457155345,0.00011348658409626679,session_date,17
EVENT-04,30min,QQQ,short_reversal,2022,-0.000621453239772641,0.0008097791617736642,session_date,17
EVENT-04,30min,QQQ,short_reversal,2023,-0.0002927505852960428,0.0006423687153215324,session_date,17
EVENT-04,30min,QQQ,short_reversal,2024,-0.0005863458804442362,0.00010705278389783337,session_date,17
EVENT-04,30min,SPY,short_reversal,2022,-0.0005751335820630559,0.0005036440901395294,session_date,17
EVENT-04,30min,SPY,short_reversal,2023,-0.0002551914706806182,0.00039621948610780186,session_date,17
EVENT-04,30min,SPY,short_reversal,2024,-0.00039126886931144776,4.1273036706287596e-05,session_date,17
EVENT-04,5min,QQQ,short_reversal,2022,-0.0005155924422446095,0.00014595157645557727,session_date,17
EVENT-04,5min,QQQ,short_reversal,2023,-0.00011837712065082684,0.0002631801673068701,session_date,17
EVENT-04,5min,QQQ,short_reversal,2024,-0.00014466261389644336,0.00018247202692700485,session_date,17
EVENT-04,5min,SPY,short_reversal,2022,-0.00023873678978244975,0.00021575944837805934,session_date,17
EVENT-04,5min,SPY,short_reversal,2023,-5.192425959187887e-05,0.00019266943407576158,session_date,17
EVENT-04,5min,SPY,short_reversal,2024,-6.97572618245737e-05,0.00013742061813784134,session_date,17
EVENT-04,60min,QQQ,short_reversal,2022,-0.0009541945263234846,0.0009891341056250148,session_date,17
EVENT-04,60min,QQQ,short_reversal,2023,-0.0009221918132137373,0.00038466643139758034,session_date,17
EVENT-04,60min,QQQ,short_reversal,2024,-0.0009094279097447501,0.00012355642293178278,session_date,17
EVENT-04,60min,SPY,short_reversal,2022,-0.0008384915101442616,0.0005848738807119761,session_date,17
EVENT-04,60min,SPY,short_reversal,2023,-0.00045192099077652676,0.0003752231223045136,session_date,17
EVENT-04,60min,SPY,short_reversal,2024,-0.0005503816510068413,8.815641443543474e-05,session_date,17
EVENT-04,session_close,QQQ,short_reversal,2022,-0.0025289216699403046,0.0015275734987053044,session_date,17
EVENT-04,session_close,QQQ,short_reversal,2023,-0.0023805293368134063,0.0001443243564299996,session_date,17
EVENT-04,session_close,QQQ,short_reversal,2024,-0.0014317942777974748,0.00028718255691946186,session_date,17
EVENT-04,session_close,SPY,short_reversal,2022,-0.0022872303941938424,0.0010004811628202992,session_date,17
EVENT-04,session_close,SPY,short_reversal,2023,-0.0013867896755291305,0.00033135280474919847,session_date,17
EVENT-04,session_close,SPY,short_reversal,2024,-0.0008419522046405615,0.0005550258356415819,session_date,17
EVENT-05,15min,QQQ,long_reversal,2022,-0.000672850727045519,0.0004620863875718566,session_date,17
EVENT-05,15min,QQQ,long_reversal,2023,-0.00038450204347417435,0.000422457733584125,session_date,17
EVENT-05,15min,QQQ,long_reversal,2024,-0.0005609617177011264,9.29644321352018e-05,session_date,17
EVENT-05,15min,SPY,long_reversal,2022,-0.0002717189769332056,0.0005657383569356748,session_date,17
EVENT-05,15min,SPY,long_reversal,2023,-0.00010271582741924455,0.0003518231601685056,session_date,17
EVENT-05,15min,SPY,long_reversal,2024,-0.0003588616969227164,9.349436087533037e-05,session_date,17
EVENT-05,30min,QQQ,long_reversal,2022,-0.0004803026886024605,0.0012090433227516942,session_date,17
EVENT-05,30min,QQQ,long_reversal,2023,-0.0007096154743892294,0.0003118351202323011,session_date,17
EVENT-05,30min,QQQ,long_reversal,2024,-0.00040788743607629205,0.00043169929740913537,session_date,17
EVENT-05,30min,SPY,long_reversal,2022,-0.00026078484963322143,0.0009575373611946542,session_date,17
EVENT-05,30min,SPY,long_reversal,2023,-0.00012471953202231322,0.0005175732843041538,session_date,17
EVENT-05,30min,SPY,long_reversal,2024,-0.0002851499438219856,0.0003320787790899011,session_date,17
EVENT-05,5min,QQQ,long_reversal,2022,-0.00039232004444885024,0.00023183009537031875,session_date,17
EVENT-05,5min,QQQ,long_reversal,2023,-0.00027592556598610157,0.00012736491466016817,session_date,17
EVENT-05,5min,QQQ,long_reversal,2024,-0.0005161054784574782,-0.0001212098825004259,session_date,17
EVENT-05,5min,SPY,long_reversal,2022,-0.00012169897760555165,0.00037571809370825,session_date,17
EVENT-05,5min,SPY,long_reversal,2023,-0.00011468065232339726,0.00012639880222386224,session_date,17
EVENT-05,5min,SPY,long_reversal,2024,-0.00020204722805099387,7.363021871529177e-05,session_date,17
EVENT-05,60min,QQQ,long_reversal,2022,-0.0009218252626751864,0.0012794787785494644,session_date,17
EVENT-05,60min,QQQ,long_reversal,2023,-0.00045583319956679744,0.0007463897423938494,session_date,17
EVENT-05,60min,QQQ,long_reversal,2024,-0.0006326378497153631,0.00041430755770086025,session_date,17
EVENT-05,60min,SPY,long_reversal,2022,-0.000140237791495321,0.0014610543505019034,session_date,17
EVENT-05,60min,SPY,long_reversal,2023,-5.952295182574927e-05,0.0007836398814761798,session_date,17
EVENT-05,60min,SPY,long_reversal,2024,-0.0003301389190104388,0.0005299469812719924,session_date,17
EVENT-05,session_close,QQQ,long_reversal,2022,-0.0017114798136000564,0.003007503144431873,session_date,17
EVENT-05,session_close,QQQ,long_reversal,2023,-0.0003987662164183516,0.0020238090479195846,session_date,17
EVENT-05,session_close,QQQ,long_reversal,2024,-0.0014859983414542925,0.0010128847382592805,session_date,17
EVENT-05,session_close,SPY,long_reversal,2022,-0.0005386274149786001,0.0030990075940091053,session_date,17
EVENT-05,session_close,SPY,long_reversal,2023,-0.0006246345674742339,0.001527959358822357,session_date,17
EVENT-05,session_close,SPY,long_reversal,2024,-0.0001900737599420179,0.0014173238408827298,session_date,17
EVENT-06,15min,QQQ,short_reversal,2022,-0.00020918267136453385,0.0010446852437165622,session_date,17
EVENT-06,15min,QQQ,short_reversal,2023,-0.00047978429299452846,0.000364645014326176,session_date,17
EVENT-06,15min,QQQ,short_reversal,2024,-0.00047584139098559775,0.00011584048794710126,session_date,17
EVENT-06,15min,SPY,short_reversal,2022,-0.00015653843143679014,0.0007083315688736641,session_date,17
EVENT-06,15min,SPY,short_reversal,2023,-9.13143018890254e-05,0.0004032097794774773,session_date,17
EVENT-06,15min,SPY,short_reversal,2024,-0.0002539944123379873,0.0001975393215110742,session_date,17
EVENT-06,30min,QQQ,short_reversal,2022,-3.537187774092543e-05,0.0016980508533319162,session_date,17
EVENT-06,30min,QQQ,short_reversal,2023,-0.0010739165038871387,0.0002326933667166651,session_date,17
EVENT-06,30min,QQQ,short_reversal,2024,-0.000667434907918352,4.471857473758012e-05,session_date,17
EVENT-06,30min,SPY,short_reversal,2022,-0.0001622391788472489,0.0011288374170445646,session_date,17
EVENT-06,30min,SPY,short_reversal,2023,-0.0004362406467191618,0.0005136705630960313,session_date,17
EVENT-06,30min,SPY,short_reversal,2024,-0.00047398114057024,0.00013344178237994394,session_date,17
EVENT-06,5min,QQQ,short_reversal,2022,6.187423702005779e-06,0.0006062309782537277,session_date,17
EVENT-06,5min,QQQ,short_reversal,2023,-8.689343803711221e-05,0.000299793287627314,session_date,17
EVENT-06,5min,QQQ,short_reversal,2024,-0.00023051724162958894,0.00013762723468022602,session_date,17
EVENT-06,5min,SPY,short_reversal,2022,2.4377096839065738e-05,0.0005219615704679579,session_date,17
EVENT-06,5min,SPY,short_reversal,2023,-3.754277826683457e-05,0.0003030154699127825,session_date,17
EVENT-06,5min,SPY,short_reversal,2024,-0.00017381100765988714,0.00011325639613216444,session_date,17
