symbol,hypothesis_id,session_date,timestamp,diagnostic,expired_sweep_time,scenario,equity_before_session
SPY,HYP-FCR-02,2022-01-14,2022-01-14T16:35:00+00:00,low_sweep_window_expired,2022-01-14T16:15:00+00:00,severe,995.3694140000005
SPY,HYP-FCR-02,2022-02-02,2022-02-02T15:55:00+00:00,low_sweep_window_expired,2022-02-02T15:35:00+00:00,severe,1023.9579872000012
SPY,HYP-FCR-02,2022-02-09,2022-02-09T17:10:00+00:00,high_sweep_window_expired,2022-02-09T16:50:00+00:00,severe,1024.001073700002
SPY,HYP-FCR-02,2022-02-10,2022-02-10T16:35:00+00:00,high_sweep_window_expired,2022-02-10T16:15:00+00:00,severe,1024.001073700002
SPY,HYP-FCR-02,2022-02-14,2022-02-14T16:50:00+00:00,low_sweep_window_expired,2022-02-14T16:30:00+00:00,severe,1031.2505427000021
SPY,HYP-FCR-02,2022-02-15,2022-02-15T16:30:00+00:00,high_sweep_window_expired,2022-02-15T16:10:00+00:00,severe,1034.7838687000024
SPY,HYP-FCR-02,2022-02-15,2022-02-15T16:55:00+00:00,high_sweep_window_expired,2022-02-15T16:35:00+00:00,severe,1034.7838687000024
SPY,HYP-FCR-02,2022-02-16,2022-02-16T15:35:00+00:00,low_sweep_window_expired,2022-02-16T15:15:00+00:00,severe,1032.0100007000024
SPY,HYP-FCR-02,2022-02-18,2022-02-18T15:35:00+00:00,high_sweep_window_expired,2022-02-18T15:15:00+00:00,severe,1035.6681327000024
SPY,HYP-FCR-02,2022-02-28,2022-02-28T15:20:00+00:00,high_sweep_window_expired,2022-02-28T15:00:00+00:00,severe,1045.1404577000028
SPY,HYP-FCR-02,2022-02-28,2022-02-28T15:35:00+00:00,low_sweep_window_expired,2022-02-28T15:15:00+00:00,severe,1045.1404577000028
SPY,HYP-FCR-02,2022-03-25,2022-03-25T15:25:00+00:00,high_sweep_window_expired,2022-03-25T15:05:00+00:00,severe,1047.5366477000046
