symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,original_body_stop,structural_stop_distance_from_original,structural_segment_bars,year,entry_hour
QQQ,2023-08-31,short,378.775,376.86,2023-08-31T16:15:00+00:00,2023-08-31T16:20:00+00:00,377.69,0.30000000000001137,378.82,375.43,2,2,2023-08-31T16:25:00+00:00,377.67,2023-08-31T17:26:00+00:00,378.83,STOP_LOSS,-2.3199999999999363,0.15130000000000002,0.05999999999994543,-2.4712999999999363,-1.0265486725663477,-1.0934955752212152,5.251989447950063,2.259999999999991,0.005,0.0021515656327928323,,HYP-FCR-04,baseline,1050.3978895900125,1047.9265895900126,30.000000000001137,0.5083714285714304,0.5901197099983342,1,1,3.500000000002501,1.1299999999999955,5.0,378.99,0.17000000000001592,2,2023,12
QQQ,2023-09-01,long,380.83,377.15,2023-09-01T15:15:00+00:00,2023-09-01T15:20:00+00:00,377.66,0.13999999999998636,376.92,379.14000000000004,2,2,2023-09-01T15:25:00+00:00,377.65999999999997,2023-09-01T15:45:00+00:00,376.91,STOP_LOSS,-1.4999999999998863,0.150914,0.020000000000095497,-1.6509139999998863,-1.0135135135134243,-1.1154824324323418,5.239632947950063,1.4800000000000182,0.005,0.0014123126702787919,,HYP-FCR-04,baseline,1047.9265895900126,1046.2756755900127,13.999999999998636,0.6535000000000041,0.2142310635041859,1,1,21.999999999997044,0.7400000000000091,5.0,376.98,0.060000000000002274,2,2023,11
QQQ,2023-09-05,long,377.36,375.9,2023-09-05T14:05:00+00:00,2023-09-05T14:10:00+00:00,376.53,0.08999999999997499,375.85,377.8899999999999,2,2,2023-09-05T14:15:00+00:00,376.56,2023-09-05T14:52:00+00:00,377.8799999999999,TAKE_PROFIT,2.639999999999759,0.15088799999999997,0.08000000000004093,2.489111999999759,1.9411764705882009,1.8302294117646631,5.2313783779500636,1.3599999999999,0.005,0.0012998486266374994,,HYP-FCR-04,baseline,1046.2756755900127,1048.7647875900125,8.999999999997499,0.8141999999999965,0.11053795136327116,1,1,3.999999999996362,0.67999999999995,5.0,375.8801,0.030100000000004457,2,2023,10
SPY,2023-09-05,long,450.93,449.38,2023-09-05T14:35:00+00:00,2023-09-05T14:50:00+00:00,450.17,0.13999999999998636,449.22,452.07,2,2,2023-09-05T14:55:00+00:00,450.18,2023-09-05T19:59:00+00:00,449.21000000000004,STOP_LOSS,-1.9399999999999409,0.17987800000000004,0.03999999999996362,-2.119877999999941,-1.0210526315789286,-1.115725263157877,5.2177694041000455,1.8999999999999773,0.005,0.0018207013887073906,,HYP-FCR-04,baseline,1043.553880820009,1041.434002820009,13.999999999998636,0.5042857142857267,0.2776203966005327,3,3,14.999999999997726,0.9499999999999886,15.0,449.56,0.339999999999975,4,2023,10
SPY,2023-09-07,long,444.4,442.805,2023-09-07T14:35:00+00:00,2023-09-07T14:45:00+00:00,444.25,0.3050000000000068,442.79,447.16999999999996,2,2,2023-09-07T14:50:00+00:00,444.26,2023-09-07T19:59:00+00:00,444.83,FORCED_SESSION_CLOSE,1.1399999999999864,0.177818,0.03999999999996362,0.9621819999999863,0.3904109589041104,0.32951438356164375,5.207170014100045,2.919999999999959,0.005,0.002803826255041744,,HYP-FCR-04,baseline,1041.434002820009,1042.396184820009,30.500000000000682,0.6058214285714273,0.5034486824264699,2,2,0.49999999999954525,1.4599999999999795,10.0,442.81,0.01999999999998181,3,2023,10
QQQ,2023-09-07,short,371.16,369.15,2023-09-07T15:40:00+00:00,2023-09-07T15:45:00+00:00,370.69,0.339999999999975,371.46999999999997,369.13000000000005,2,2,2023-09-07T15:50:00+00:00,370.6924,2023-09-07T16:19:00+00:00,371.47999999999996,STOP_LOSS,-1.5751999999998816,0.14843447999999998,0.024800000000027467,-1.7236344799998815,-1.0097435897435492,-1.1048938974358602,5.243823937950062,1.5599999999999454,0.005,0.0014874641277618744,,HYP-FCR-04,baseline,1048.7647875900125,1047.0411531100126,33.9999999999975,0.5770571428571551,0.5891964153091485,1,1,29.999999999995453,0.7799999999999727,5.0,371.53,0.060000000000002274,2,2023,11
QQQ,2023-09-08,short,374.4,371.92,2023-09-08T14:30:00+00:00,2023-09-08T14:35:00+00:00,373.96,0.03000000000002956,374.78,372.32,2,2,2023-09-08T14:40:00+00:00,373.93,2023-09-08T18:14:00+00:00,372.33,TAKE_PROFIT,3.2000000000000455,0.149252,0.07999999999992724,3.0507480000000453,1.9512195121951659,1.8602121951219943,5.235205765550063,1.6399999999999864,0.005,0.0015663185684046093,,HYP-FCR-04,baseline,1047.0411531100126,1050.0919011100127,3.000000000002956,0.7549999999999873,0.03973509933778816,1,1,37.000000000000455,0.8199999999999932,5.0,374.61,0.16999999999995907,2,2023,10
SPY,2023-09-08,short,446.1,444.8,2023-09-08T16:45:00+00:00,2023-09-08T16:50:00+00:00,445.82,0.08999999999997499,446.24,444.97999999999996,2,2,2023-09-08T16:55:00+00:00,445.8,2023-09-08T18:39:00+00:00,444.98999999999995,TAKE_PROFIT,1.6200000000001182,0.178158,0.05999999999994543,1.4418420000001182,1.9285714285714963,1.716478571428647,5.211980924100045,0.8400000000000318,0.005,0.0008058356431389615,,HYP-FCR-04,baseline,1042.396184820009,1043.8380268200092,8.999999999997499,0.33317142857142457,0.2701312065859843,1,1,12.999999999999545,0.4200000000000159,5.0,446.1384,0.10160000000001901,2,2023,12
QQQ,2023-09-11,long,376.31,374.0,2023-09-11T14:20:00+00:00,2023-09-11T14:25:00+00:00,374.65,0.020000000000038654,373.8001,376.34979999999996,2,2,2023-09-11T14:30:00+00:00,374.67,2023-09-11T14:31:00+00:00,373.7901,STOP_LOSS,-1.759800000000041,0.14969202,0.06000000000005912,-1.9094920200000411,-1.0352982703847864,-1.1233627603247802,5.250459505550063,1.699799999999982,0.005,0.0016187154650018605,,HYP-FCR-04,baseline,1050.0919011100127,1048.1824090900127,2.0000000000038654,0.7485333333333273,0.026718916993283062,1,1,18.990000000002283,0.849899999999991,5.0,373.87,0.06990000000001828,2,2023,10
SPY,2023-09-11,long,448.77,446.93,2023-09-11T14:15:00+00:00,2023-09-11T14:25:00+00:00,447.8,0.15999999999996817,446.8,449.8,2,2,2023-09-11T14:30:00+00:00,447.81,2023-09-11T14:57:00+00:00,446.79,STOP_LOSS,-2.0399999999999636,0.17892000000000002,0.03999999999996362,-2.218919999999964,-1.0199999999999818,-1.109459999999982,5.219190134100046,2.0,0.005,0.0019160060743263797,,HYP-FCR-04,baseline,1043.8380268200092,1041.6191068200092,15.999999999996817,0.5099166666666642,0.31377676090858425,2,2,12.000000000000455,1.0,10.0,446.89,0.08999999999997499,3,2023,10
