symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,original_body_stop,structural_stop_distance_from_original,structural_segment_bars,year,entry_hour
QQQ,2023-05-10,short,325.34,323.04,2023-05-10T14:15:00+00:00,2023-05-10T14:20:00+00:00,324.86,0.36299999999999955,325.73,323.12,2,2,2023-05-10T14:25:00+00:00,324.82000000000005,2023-05-10T14:45:00+00:00,323.15,TAKE_PROFIT,3.3400000000001455,0.38878199999999996,0.13999999999987267,2.9512180000001456,1.9195402298851312,1.6961022988506496,4.737808164500156,1.740000000000009,0.005,0.0018362921625210854,,HYP-FCR-04,severe,947.5616329000312,950.5128509000314,36.299999999999955,0.853981818181813,0.4250675977772594,1,1,38.00000000000523,0.8700000000000045,5.0,325.51,0.22000000000002728,2,2023,10
SPY,2023-05-10,long,414.535,411.5001,2023-05-10T15:15:00+00:00,2023-05-10T15:25:00+00:00,411.92,0.07839999999998781,411.12,413.52000000000004,2,2,2023-05-10T15:30:00+00:00,411.945,2023-05-10T16:01:00+00:00,411.09000000000003,STOP_LOSS,-1.7099999999999227,0.493821,0.10999999999989996,-2.2038209999999228,-1.0687499999999366,-1.3773881249999322,4.604418062400119,1.6000000000000227,0.005,0.001737461692570548,,HYP-FCR-04,severe,920.8836124800238,918.6797914800238,7.839999999998781,0.6049714285714336,0.12959289694906728,2,2,37.009999999997945,0.8000000000000114,10.0,411.15000000000003,0.03000000000002956,3,2023,11
QQQ,2023-05-11,long,325.85,324.38,2023-05-11T14:45:00+00:00,2023-05-11T14:50:00+00:00,325.3,0.5,324.36,327.18,2,2,2023-05-11T14:55:00+00:00,325.34,2023-05-11T19:59:00+00:00,326.16,FORCED_SESSION_CLOSE,1.6400000000001,0.39089999999999997,0.13999999999987267,1.2491000000001,0.8723404255319702,0.6644148936170761,4.7525642545001565,1.8799999999999955,0.005,0.0019778796238471073,,HYP-FCR-04,severe,950.5128509000314,951.7619509000315,50.0,0.5699571428571387,0.8772589417750771,1,1,0.9999999999990905,0.9399999999999977,5.0,324.34000000000003,0.01999999999998181,2,2023,10
SPY,2023-05-11,long,412.09,410.16,2023-05-11T14:40:00+00:00,2023-05-11T14:50:00+00:00,411.15,0.37999999999999545,410.105,413.2399999999999,2,2,2023-05-11T14:55:00+00:00,411.19,2023-05-11T19:59:00+00:00,412.13000000000005,FORCED_SESSION_CLOSE,1.8800000000001091,0.493992,0.13999999999998636,1.3860080000001092,0.8995215311005659,0.6631617224881164,4.593398957400119,2.089999999999918,0.005,0.002275003781930218,,HYP-FCR-04,severe,918.6797914800238,920.0657994800239,37.999999999999545,0.6374285714285618,0.5961452263558961,2,2,4.500000000001592,1.044999999999959,10.0,410.29,0.18500000000000227,3,2023,10
SPY,2023-05-15,long,412.29,410.78,2023-05-15T14:20:00+00:00,2023-05-15T14:25:00+00:00,411.02,0.29000000000002046,410.38,412.29999999999995,2,2,2023-05-15T14:30:00+00:00,411.04499999999996,2023-05-15T16:45:00+00:00,412.27,TAKE_PROFIT,2.4500000000000455,0.4939889999999999,0.10999999999989996,1.9560110000000455,1.9140625000000764,1.5281335937500682,4.600328997400119,1.2799999999999727,0.005,0.0013912048472221944,,HYP-FCR-04,severe,920.0657994800239,922.0218104800239,29.000000000002046,0.47440833333333404,0.611287744383397,1,1,38.999999999998636,0.6399999999999864,5.0,410.31,0.06999999999999318,2,2023,10
QQQ,2023-05-15,long,325.81,324.52,2023-05-15T14:30:00+00:00,2023-05-15T14:35:00+00:00,324.96,0.17709999999999582,324.21000000000004,326.45999999999987,2,2,2023-05-15T14:40:00+00:00,324.96999999999997,2023-05-15T17:00:00+00:00,326.4299999999999,TAKE_PROFIT,2.9199999999998454,0.3908399999999999,0.07999999999992724,2.5291599999998455,1.9466666666667112,1.6861066666666915,4.758809754500158,1.4999999999998863,0.005,0.001576024339469985,,HYP-FCR-04,severe,951.7619509000315,954.2911109000313,17.70999999999958,0.49565714285714485,0.35730343555452093,1,1,29.999999999995453,0.7499999999999432,5.0,324.28000000000003,0.06999999999999318,2,2023,10
SPY,2023-05-16,long,412.815,410.89,2023-05-16T14:15:00+00:00,2023-05-16T15:50:00+00:00,411.87,0.20999999999997954,410.72,414.16999999999996,2,2,2023-05-16T15:55:00+00:00,411.90999999999997,2023-05-16T19:50:00+00:00,410.69000000000005,STOP_LOSS,-2.439999999999827,0.49355999999999994,0.13999999999987267,-2.933559999999827,-1.0608695652173372,-1.2754608695651675,4.610109052400119,2.2999999999999545,0.005,0.002494517997142092,,HYP-FCR-04,severe,922.0218104800239,919.088250480024,20.999999999997954,0.3870928571428668,0.5425054896388168,19,19,15.999999999996817,1.1499999999999773,95.0,411.16,0.4399999999999977,20,2023,11
QQQ,2023-05-16,short,327.98,326.02,2023-05-16T19:45:00+00:00,2023-05-16T19:50:00+00:00,327.325,0.214999999999975,328.15999999999997,325.65500000000003,2,2,2023-05-16T19:55:00+00:00,327.295,2023-05-16T19:59:00+00:00,327.16999999999996,FORCED_SESSION_CLOSE,0.2500000000001137,0.3926789999999999,0.11999999999989086,-0.1426789999998862,0.14970059880246694,-0.08543652694604173,4.7714555545001565,1.669999999999959,0.005,0.0017499901035700868,,HYP-FCR-04,severe,954.2911109000313,954.1484319000314,21.4999999999975,0.27762857142856695,0.7744159720077437,1,1,16.999999999995907,0.8349999999999795,5.0,328.34499999999997,0.18500000000000227,2,2023,15
QQQ,2023-05-19,long,338.205,336.9703,2023-05-19T14:10:00+00:00,2023-05-19T14:15:00+00:00,337.49,0.05009999999998627,336.63,339.21000000000004,2,2,2023-05-19T14:20:00+00:00,337.53,2023-05-19T14:58:00+00:00,336.6,STOP_LOSS,-1.8599999999999,0.40447799999999995,0.13999999999987267,-2.2644779999999,-1.081395348837134,-1.316556976744107,4.770742159500157,1.7200000000000273,0.005,0.0018026545372766868,,HYP-FCR-04,severe,954.1484319000314,951.8839539000314,5.009999999998627,0.5494599999999934,0.09118043169655092,1,1,33.03000000000225,0.8600000000000136,5.0,336.81,0.18000000000000682,2,2023,10
SPY,2023-05-19,short,420.72,419.8,2023-05-19T14:35:00+00:00,2023-05-19T14:40:00+00:00,420.1799,0.09649999999999181,420.73,419.0796999999999,2,2,2023-05-19T14:45:00+00:00,420.15000000000003,2023-05-19T15:15:00+00:00,419.10969999999986,TAKE_PROFIT,2.080600000000345,0.5035558199999999,0.11979999999982738,1.5770441800003452,1.891110707144321,1.4334159061990743,4.5954412524001205,1.1002000000000862,0.005,0.0011970558860103701,,HYP-FCR-04,severe,919.088250480024,920.6652946600244,9.649999999999181,0.3849357142857213,0.25069121003504496,1,1,0.0,0.5501000000000431,5.0,420.695,0.03500000000002501,2,2023,10
